masse,CO2,dimension,cylindrée,puissance,autonomie électrique,fuel mode,fuel type
993.0,B,2492.0,999.0,48.0,0.0,M,petrol
1015.0,B,2492.0,999.0,48.0,0.0,M,petrol
1015.0,B,2492.0,999.0,48.0,0.0,M,petrol
993.0,B,2492.0,999.0,48.0,0.0,M,petrol
984.0,B,2492.0,999.0,48.0,0.0,M,petrol
1015.0,B,2492.0,999.0,48.0,0.0,M,petrol
993.0,B,2492.0,999.0,48.0,0.0,M,petrol
984.0,B,2492.0,999.0,48.0,0.0,M,petrol
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1300.0,D,2673.0,999.0,67.0,0.0,M,petrol
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1396.0,C,2673.0,1461.0,70.0,0.0,M,diesel
1266.0,D,2673.0,999.0,67.0,0.0,M,petrol
1367.0,C,2673.0,999.0,67.0,0.0,B,lpg
1332.0,D,2673.0,1332.0,110.0,0.0,M,petrol
1401.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1401.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1333.0,C,2673.0,999.0,67.0,0.0,B,lpg
1332.0,D,2673.0,1332.0,96.0,0.0,M,petrol
1429.0,C,2673.0,1461.0,70.0,0.0,M,diesel
1332.0,D,2673.0,1332.0,96.0,0.0,M,petrol
1338.0,D,2673.0,1332.0,110.0,0.0,M,petrol
1371.0,C,2673.0,999.0,67.0,0.0,B,lpg
1425.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1264.0,C,2673.0,999.0,67.0,0.0,M,petrol
1317.0,D,2673.0,1332.0,96.0,0.0,M,petrol
1371.0,C,2673.0,999.0,67.0,0.0,B,lpg
1338.0,D,2673.0,1332.0,110.0,0.0,M,petrol
1399.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1337.0,C,2673.0,999.0,67.0,0.0,B,lpg
1337.0,C,2673.0,999.0,67.0,0.0,B,lpg
1342.0,D,2673.0,1332.0,110.0,0.0,M,petrol
1425.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1342.0,D,2673.0,1332.0,110.0,0.0,M,petrol
1321.0,D,2673.0,1332.0,96.0,0.0,M,petrol
1321.0,C,2673.0,1332.0,96.0,0.0,M,petrol
1264.0,C,2673.0,999.0,67.0,0.0,M,petrol
1372.0,C,2673.0,999.0,67.0,0.0,B,lpg
1372.0,C,2673.0,999.0,67.0,0.0,B,lpg
1403.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1403.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1317.0,C,2673.0,1332.0,96.0,0.0,M,petrol
1396.0,C,2673.0,1461.0,70.0,0.0,M,diesel
1332.0,D,2673.0,1332.0,96.0,0.0,M,petrol
1429.0,C,2673.0,1461.0,85.0,0.0,M,diesel
1429.0,C,2673.0,1461.0,70.0,0.0,M,diesel
1367.0,C,2673.0,999.0,67.0,0.0,B,lpg
1429.0,C,2673.0,1461.0,70.0,0.0,M,diesel
1570.0,C,2820.0,2143.0,140.0,0.0,M,diesel
1512.0,C,2679.0,1968.0,110.0,0.0,M,diesel
1570.0,C,2820.0,2143.0,140.0,0.0,M,diesel
1820.0,E,2818.0,2143.0,154.0,0.0,M,diesel
1820.0,E,2818.0,2143.0,154.0,0.0,M,diesel
1520.0,E,2820.0,1995.0,206.0,0.0,M,petrol
1520.0,E,2820.0,1995.0,206.0,0.0,M,petrol
1520.0,E,2820.0,1995.0,206.0,0.0,M,petrol
1820.0,D,2818.0,2143.0,140.0,0.0,M,diesel
1175.0,C,2550.0,999.0,70.0,0.0,M,petrol
1175.0,C,2550.0,999.0,70.0,0.0,M,petrol
1175.0,C,2550.0,999.0,70.0,0.0,M,petrol
1175.0,C,2550.0,999.0,70.0,0.0,M,petrol
1295.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2618.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1295.0,C,2618.0,999.0,81.0,0.0,M,petrol
1325.0,C,2589.0,999.0,81.0,0.0,M,petrol
1325.0,C,2589.0,999.0,81.0,0.0,M,petrol
1325.0,C,2591.0,999.0,81.0,0.0,M,petrol
1325.0,C,2591.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1295.0,C,2618.0,999.0,81.0,0.0,M,petrol
1295.0,C,2618.0,999.0,81.0,0.0,M,petrol
1295.0,C,2624.0,999.0,81.0,0.0,M,petrol
1300.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1295.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2618.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1205.0,C,2550.0,999.0,81.0,0.0,M,petrol
1205.0,C,2550.0,999.0,81.0,0.0,M,petrol
1205.0,C,2550.0,999.0,81.0,0.0,M,petrol
1205.0,C,2550.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1180.0,C,2550.0,999.0,81.0,0.0,M,petrol
1220.0,C,2554.0,999.0,81.0,0.0,M,petrol
1325.0,D,2591.0,999.0,81.0,0.0,M,petrol
1325.0,C,2591.0,999.0,81.0,0.0,M,petrol
1325.0,C,2591.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1180.0,B,2550.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1300.0,C,2624.0,999.0,81.0,0.0,M,petrol
1325.0,C,2589.0,999.0,81.0,0.0,M,petrol
1295.0,C,2624.0,999.0,81.0,0.0,M,petrol
1295.0,C,2624.0,999.0,81.0,0.0,M,petrol
1295.0,C,2624.0,999.0,81.0,0.0,M,petrol
1295.0,C,2624.0,999.0,81.0,0.0,M,petrol
1430.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2589.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2589.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1425.0,B,2618.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1455.0,C,2589.0,1968.0,85.0,0.0,M,diesel
1425.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1425.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1455.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1425.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1455.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1455.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1425.0,C,2624.0,1968.0,85.0,0.0,M,diesel
1425.0,C,2624.0,1968.0,85.0,0.0,M,diesel
1425.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1430.0,B,2624.0,1968.0,85.0,0.0,M,diesel
1440.0,C,2591.0,1968.0,85.0,0.0,M,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1595.0,D,2826.0,1968.0,100.0,2.0,H,diesel
1595.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1550.0,C,2829.0,1968.0,100.0,2.0,H,diesel
1655.0,D,2677.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2677.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2677.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2678.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2678.0,1968.0,110.0,0.0,M,diesel
1525.0,D,2677.0,1498.0,110.0,0.0,M,petrol
1525.0,D,2677.0,1498.0,110.0,0.0,M,petrol
1525.0,D,2678.0,1498.0,110.0,0.0,M,petrol
1605.0,D,2678.0,1498.0,110.0,2.0,H,petrol
1605.0,D,2678.0,1498.0,110.0,2.0,H,petrol
1525.0,D,2677.0,1498.0,110.0,0.0,M,petrol
1525.0,D,2678.0,1498.0,110.0,0.0,M,petrol
1655.0,D,2677.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2678.0,1968.0,110.0,0.0,M,diesel
1655.0,D,2678.0,1968.0,110.0,0.0,M,diesel
1380.0,C,2589.0,1498.0,110.0,0.0,M,petrol
1380.0,C,2589.0,1498.0,110.0,0.0,M,petrol
1380.0,C,2591.0,1498.0,110.0,0.0,M,petrol
1380.0,D,2589.0,1498.0,110.0,0.0,M,petrol
